date_start,date_end,event_name,city,age_category,source,club_file
2026-01-01,2026-01-01,LIGUE PARTENAIRES 2026,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-01-08,2026-01-08,GOLF LOU VERDAI STEPH,ROQUES,,club,lou_verdai
2026-01-08,2026-01-08,GOLF LOU VERDAI STEPH,ROQUES,,club,vieille_toulouse
2026-01-11,2026-01-11,CARTE VERTE,ALBI,,club,Albi
2026-01-11,2026-01-11,COUPE DE L'EPIPHANIE AS,SEILH,,club,seilh
2026-01-11,2026-01-11,COUPE DE L'ÉPIPHANIE 2026 - SCRAMBLE À 4,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-01-17,2026-01-17,MATCH-PLAYS HIVERNAUX,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-01-18,2026-01-18,COMPÉTITION DES ROIS,ROQUES,,club,lou_verdai
2026-01-18,2026-01-18,COMPÉTITION DES ROIS,ROQUES,,club,vieille_toulouse
2026-01-29,2026-01-29,DERNIER JEUDI DU MOIS SÉNIORS,ALBI,Seniors,club,Albi
2026-01-31,2026-01-31,COUPE DE LA CHANDELEUR AS,SEILH,,club,seilh
2026-02-01,2026-02-01,COMPÉTITION DE LA CHANDELEUR,TOURNEFEUILLE,,club,la_ramee
2026-02-04,2026-02-04,CHANDELEUR CUP - EDG,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 5T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 9 TROUS (INITIALEMENT INSCRITS SUR 18 TROUS),VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 9T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-07,2026-02-07,JUNIORS SÉRIES,BUZET-SUR-TARN,,club,Palmola
2026-02-08,2026-02-08,COMPETITION SCRAMBLE,DREMIL LAFAGE,,club,Estalosa
2026-02-08,2026-02-08,COMPÉTITION DE LA CHANDELEUR,ROQUES,,club,lou_verdai
2026-02-08,2026-02-08,COMPÉTITION DE LA CHANDELEUR,ROQUES,,club,vieille_toulouse
2026-02-15,2026-02-15,CHANDELEUR CUP,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-15,2026-02-15,COMPÉTITION DE LA CHANDELEUR,ROQUES,,club,lou_verdai
2026-02-15,2026-02-15,COMPÉTITION DE LA CHANDELEUR,ROQUES,,club,vieille_toulouse
2026-02-18,2026-02-18,CLASSEMENT (COPY),CASTRES,,club,Castres
2026-02-19,2026-02-19,CLUB DES PARTENAIRES,BUZET-SUR-TARN,,club,Palmola
2026-02-20,2026-02-22,Grand Prix Dames de la Ligue PACA,MOURIES,Dames,grand_prix,
2026-02-21,2026-02-21,ACCESS GOLF RACE #EDG,SEILH,,club,seilh
2026-02-21,2026-02-21,ACCESS GOLF RACE BIS #EDG,SEILH,,club,seilh
2026-02-21,2026-02-21,SCRAMBLE À 2 - ADULTES / ENFANTS,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-02-26,2026-02-26,DERNIER JEUDI DU MOIS,ALBI,,club,Albi
2026-02-26,2026-02-28,Grand Prix de Saint Donat,PLAN DE GRASSE,,grand_prix,
2026-03-01,2026-03-01,COMPETITION DE CLASSEMENT,DREMIL LAFAGE,,club,Estalosa
2026-03-01,2026-03-01,SOMABAY WORLD CUP,ALBI,,club,Albi
2026-03-04,2026-03-04,COMPÉTITION DE CLASSEMENT / BIODIVERSITÉ - 01 PARCOURS JAUNE - SWC,SEILH,,club,seilh
2026-03-04,2026-03-04,STAGE VACANCES,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-05,2026-03-05,STAGE VACANCES,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-05,2026-03-05,STAGE VACANCES,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-06,2026-03-08,Grand Prix de Château l'Arc Trophée Guy PASTOR,FUVEAU,,grand_prix,
2026-03-07,2026-03-07,JUNIORSSERIE 07 03,BUZET-SUR-TARN,,club,Palmola
2026-03-07,2026-03-08,Grand Prix Jeunes de Chantilly U12,VINEUIL ST FIRMIN,U12,grand_prix_jeunes,
2026-03-07,2026-03-08,Grand Prix Jeunes de Raray Benjamins - Minimes,RARAY,Benjamins - Minimes,grand_prix_jeunes,
2026-03-07,2026-03-08,Grand Prix Jeunes de Saint Cast,SAINT CAST LE GUILDO,,grand_prix_jeunes,
2026-03-07,2026-03-08,Grand Prix de Casteljaloux,CASTELJALOUX,,grand_prix,
2026-03-08,2026-03-08,18 TROUS CLASSANT,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-08,2026-03-08,9 TROUS CLASSANT,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-09,2026-03-09,CARTES JEUNES,CASTRES,,club,Castres
2026-03-10,2026-03-10,TROPHEE GERSOIS / U14,EAUZE,U14,club,Eauze
2026-03-11,2026-03-11,CARNAVAL CUP - EDG - 5T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-11,2026-03-11,CARNAVAL CUP - EDG - 9T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-11,2026-03-11,COMPÉTITION DE CLASSEMENT / BIODIVERSITÉ - 02 PARCOURS ROUGE - SWC,SEILH,,club,seilh
2026-03-12,2026-03-12,9 TROUS CLASSANT,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-12,2026-03-12,WINTER CUP GCT 18 TROUS,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-13,2026-03-15,Grand Prix Elite de Landifornie (Moliets et Seignosse),MOLIETS ET MAA,,grand_prix,
2026-03-14,2026-03-14,CARNAVAL CUP - EDG - 5T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-14,2026-03-14,CARNAVAL CUP - EDG - 9T,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-14,2026-03-14,CARNAVAL CUP ADULTES - SCRAMBLE À 4 - SHOT GUN L'APRÈS-MIDI,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-14,2026-03-14,CARNAVAL CUP ADULTES - SCRAMBLE À 4 - SHOT GUN LE MATIN,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-14,2026-03-14,CARNAVAL CUP EDG - 9 TROUS (DÉPARTS PLUS TARDIF),VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-14,2026-03-14,CHAMPIONNAT DU TARN INDIVIDUEL,ALBI,,club,Albi
2026-03-14,2026-03-14,TIS - 14/03/2026,TOURNEFEUILLE,,club,la_ramee
2026-03-14,2026-03-15,Grand Prix National U12,NIMES,U12,grand_prix_jeunes,
2026-03-14,2026-03-15,Grand Prix National U12 Filles U12,NIMES,U12,grand_prix_jeunes,
2026-03-14,2026-03-15,Grand Prix National U12 Garçons U12,NIMES,U12,grand_prix_jeunes,
2026-03-14,2026-03-15,Grand Prix d'Augerville,AUGERVILLE LA RIVIERE,,grand_prix,
2026-03-14,2026-03-15,Grand Prix de Barbaroux,BRIGNOLES,,grand_prix,
2026-03-14,2026-03-15,Grand Prix de Souillac,LACHAPELLE AUZAC,,grand_prix,
2026-03-14,2026-03-15,Grand Prix des Chanalets,BOURG LES VALENCE,,grand_prix,
2026-03-14,2026-03-15,Grand Prix du Liberty Country Club,THIVERVAL GRIGNON,,grand_prix,
2026-03-15,2026-03-15,COMPETITION SCRAMBLE,DREMIL LAFAGE,,club,Estalosa
2026-03-15,2026-03-15,COMPÉTITION ST PATRICK 2026,TOURNEFEUILLE,,club,la_ramee
2026-03-15,2026-03-15,COUPE DE LA SAINT PATRICK,BUZET-SUR-TARN,,club,Palmola
2026-03-15,2026-03-15,PITCH & PUTT LOU VERDAÏ,ROQUES,,club,lou_verdai
2026-03-15,2026-03-15,PITCH & PUTT LOU VERDAÏ,ROQUES,,club,vieille_toulouse
2026-03-15,2026-03-15,SHOTGUN AFG,SEILH,,club,seilh
2026-03-15,2026-03-15,WINTER CUP JUNIOR GCT - U12 - 18 TROUS,VIEILLE TOULOUSE,U12,club,vieille_toulouse
2026-03-15,2026-03-15,WINTER CUP JUNIOR GCT - U8 ET U10 - 9 TROUS,VIEILLE TOULOUSE,U10,club,vieille_toulouse
2026-03-18,2026-03-18,TIS - 18/03/2026,TOURNEFEUILLE,,club,la_ramee
2026-03-19,2026-03-19,CARNAVAL CUP ADULTES,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-19,2026-03-19,COMPÉTITION DE CLASSEMENT,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-20,2026-03-20,42/67 TOULOUSE,ALBI,,club,Albi
2026-03-20,2026-03-20,CHAMPIONS CUP MARS,BUZET-SUR-TARN,,club,Palmola
2026-03-20,2026-03-20,IBM,BUZET-SUR-TARN,,club,Palmola
2026-03-20,2026-03-22,41ème Grand Prix de Campagne Trophée Tito LASSALLE,NIMES,,grand_prix,
2026-03-20,2026-03-22,Grand Prix de Bordeaux,BORDEAUX,,grand_prix,
2026-03-21,2026-03-21,9 TROUS CLASSANT,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-21,2026-03-21,CHALLENGE CDGOLF81 U16,ALBI,U16,club,Albi
2026-03-21,2026-03-21,CHALLENGE DEPARTEMENTAL U12,ALBI,U12,club,Albi
2026-03-21,2026-03-21,CHALLENGE DEPARTEMENTAL U14,ALBI,U14,club,Albi
2026-03-21,2026-03-21,CHALLENGE DEPARTEMENTAL U16,ALBI,U16,club,Albi
2026-03-21,2026-03-21,CHPT EQUIPES,BUZET-SUR-TARN,,club,Palmola
2026-03-21,2026-03-21,CLASSEMENT (COPY) (COPY),CASTRES,,club,Castres
2026-03-21,2026-03-21,COMPETITION DE CLASSEMENT,DREMIL LAFAGE,,club,Estalosa
2026-03-21,2026-03-21,COMPÉTITION DE CLASSEMENT / BIODIVERSITÉ - 03 PARCOURS JAUNE - SWC,SEILH,,club,seilh
2026-03-21,2026-03-21,RENCONTRE GCT VS ARIEGE,VIEILLE TOULOUSE,,club,vieille_toulouse
2026-03-21,2026-03-21,TROPHEE GERSOIS / U10,EAUZE,U10,club,Eauze
