id,date_start,date_end,event_name,city,golf_course,department,department_code,latitude,longitude,age_category,source,club_file,driving_minutes,distance_km,distance_category,total_days,hotel_nights,cost_meals,cost_hotel,cost_ev,cost_tolls,cost_entry,cost_total
b58c79e9,2026-01-01,2026-01-01,LIGUE PARTENAIRES 2026,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
076c68a5,2026-01-08,2026-01-08,GOLF LOU VERDAI STEPH,ROQUES,UGOLF LOU VERDAI,Haute-Garonne,31,43.5109039,1.3755068,,club,lou_verdai,19,14,local,1,0,10.0,0.0,1.12,1.57,10.0,22.69
9f25e54d,2026-01-11,2026-01-11,COUPE DE L'ÉPIPHANIE 2026 - SCRAMBLE À 4,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
f3d12360,2026-01-17,2026-01-17,MATCH-PLAYS HIVERNAUX,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
8163a9d9,2026-01-18,2026-01-18,COMPÉTITION DES ROIS,ROQUES,UGOLF LOU VERDAI,Haute-Garonne,31,43.5109039,1.3755068,,club,lou_verdai,19,14,local,1,0,10.0,0.0,1.12,1.57,10.0,22.69
e0141a0c,2026-01-31,2026-01-31,COUPE DE LA CHANDELEUR AS,SEILH,UGOLF TOULOUSE SEILH,Haute-Garonne,31,43.694573,1.3534881,,club,seilh,31,26,local,1,0,10.0,0.0,2.08,2.91,10.0,24.99
adcb4e8f,2026-02-01,2026-02-01,COMPÉTITION DE LA CHANDELEUR,TOURNEFEUILLE,UGOLF LA RAMEE,Haute-Garonne,31,43.5832062,1.3460025,,club,la_ramee,16,11,local,1,0,10.0,0.0,0.88,1.23,10.0,22.11
fa06d66c,2026-02-04,2026-02-04,CHANDELEUR CUP - EDG,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
7b4c71a2,2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 5T,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
13b46334,2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 9 TROUS (INITIALEMENT INSCRITS SUR 18 TROUS),VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
dfcdc302,2026-02-07,2026-02-07,CHANDELEUR CUP - EDG - 9T,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
336bce85,2026-02-07,2026-02-07,JUNIORS SÉRIES,BUZET-SUR-TARN,GOLF COUNTRY CLUB DE PALMOLA,Haute-Garonne,31,43.7793427,1.6323299,,club,Palmola,51,54,local,1,0,10.0,0.0,4.32,6.05,10.0,30.37
28a4fafd,2026-02-08,2026-02-08,COMPÉTITION DE LA CHANDELEUR,ROQUES,UGOLF LOU VERDAI,Haute-Garonne,31,43.5109039,1.3755068,,club,lou_verdai,19,14,local,1,0,10.0,0.0,1.12,1.57,10.0,22.69
d3353bd0,2026-02-08,2026-02-08,COMPETITION SCRAMBLE,DREMIL LAFAGE,GOLF ESTOLOSA,Haute-Garonne,31,43.5969276,1.6013136,,club,Estalosa,49,47,local,1,0,10.0,0.0,3.76,5.26,10.0,29.02
e2869f59,2026-02-15,2026-02-15,COMPÉTITION DE LA CHANDELEUR,ROQUES,UGOLF LOU VERDAI,Haute-Garonne,31,43.5109039,1.3755068,,club,lou_verdai,19,14,local,1,0,10.0,0.0,1.12,1.57,10.0,22.69
33877629,2026-02-15,2026-02-15,CHANDELEUR CUP,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
6d8f1428,2026-02-18,2026-02-18,CLASSEMENT (COPY),CASTRES,GOLF DE CASTRES-GOURJADE,Tarn,81,43.6053809,2.2411289,,club,Castres,100,107,local,1,0,10.0,0.0,8.56,11.98,10.0,40.54
ef6aa588,2026-02-19,2026-02-19,CLUB DES PARTENAIRES,BUZET-SUR-TARN,GOLF COUNTRY CLUB DE PALMOLA,Haute-Garonne,31,43.7793427,1.6323299,,club,Palmola,51,54,local,1,0,10.0,0.0,4.32,6.05,10.0,30.37
73025c38,2026-02-21,2026-02-21,ACCESS GOLF RACE #EDG,SEILH,UGOLF TOULOUSE SEILH,Haute-Garonne,31,43.694573,1.3534881,,club,seilh,31,26,local,1,0,10.0,0.0,2.08,2.91,10.0,24.99
ec9ade6b,2026-02-21,2026-02-21,ACCESS GOLF RACE BIS #EDG,SEILH,UGOLF TOULOUSE SEILH,Haute-Garonne,31,43.694573,1.3534881,,club,seilh,31,26,local,1,0,10.0,0.0,2.08,2.91,10.0,24.99
842c7df6,2026-02-21,2026-02-21,SCRAMBLE À 2 - ADULTES / ENFANTS,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
4884581f,2026-02-26,2026-02-26,DERNIER JEUDI DU MOIS,ALBI,UGOLF ALBI,Tarn,81,43.9277552,2.147899,,club,Albi,78,102,local,1,0,10.0,0.0,8.16,11.42,10.0,39.58
448a643f,2026-02-26,2026-02-28,Grand Prix de Saint Donat,PLAN DE GRASSE,GOLF COUNTRY CLUB DE ST DONAT,Alpes-Maritimes,06,43.6498966,6.9522696,,grand_prix,,365,574,national,4,3,216.0,240.0,45.92,64.29,50.0,616.21
b6daa900,2026-03-01,2026-03-01,COMPETITION DE CLASSEMENT,DREMIL LAFAGE,GOLF ESTOLOSA,Haute-Garonne,31,43.5969276,1.6013136,,club,Estalosa,49,47,local,1,0,10.0,0.0,3.76,5.26,10.0,29.02
6052e3d0,2026-03-01,2026-03-01,SOMABAY WORLD CUP,ALBI,UGOLF ALBI,Tarn,81,43.9277552,2.147899,,club,Albi,78,102,local,1,0,10.0,0.0,8.16,11.42,10.0,39.58
d7746628,2026-03-04,2026-03-04,COMPÉTITION DE CLASSEMENT / BIODIVERSITÉ - 01 PARCOURS JAUNE - SWC,SEILH,UGOLF TOULOUSE SEILH,Haute-Garonne,31,43.694573,1.3534881,,club,seilh,31,26,local,1,0,10.0,0.0,2.08,2.91,10.0,24.99
ee7239d5,2026-03-04,2026-03-04,STAGE VACANCES,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
43df2168,2026-03-05,2026-03-05,STAGE VACANCES,VIEILLE TOULOUSE,GOLF CLUB DE TOULOUSE,Haute-Garonne,31,43.535,1.4375,,club,vieille_toulouse,30,24,local,1,0,10.0,0.0,1.92,2.69,10.0,24.61
